property_id,lat,lng,addr_street,Suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
68741,-37.856149,145.037211,11 Eva Street,MALVERN,15720000,house,2014,3,1,0,SC_023,2286.42,19911,853.36,15.0,0,hospital_157,825.69,S_235,856.23
19266,-37.669824,144.933401,9 Morwell Crescent,DALLAS,2224000,house,2012,3,1,1,SC_072,2340.32,44817,1176.11,39.9,0,hospital_104,2417.13,S_153,1385.14
3063,-37.815886799999994,144.8882819,20 Canterbury Street,YARRAVILLE,15540000,house,2012,3,2,2,SC_043,3415.81,19996,145.31,15.3,0,hospital_056,2539.63,S_201,1890.05
1685,-37.808658,144.88399099999998,112 Williamstown Road,KINGSVILLE,9600000,house,2015,3,1,2,SC_043,2588.12,20023,771.42,19.75,0,hospital_056,1739.16,S_201,1515.19
45135,-37.707832,145.088287,468 Greensborough Road,GREENSBOROUGH,5715000,house,2015,5,3,0,SC_017,5612.04,19984,526.96,34.64,0,hospital_075,1577.2,S_020,1094.48
83361,-37.85546875,144.9938355,1 White Street,WINDSOR,7980000,house,2008,2,1,1,SC_066,909.94,19957,171.08,11.0,0,hospital_063,377.84,S_115,1301.01
72828,-37.866608,145.259999,100 Gertonia Avenue,BORONIA,4400000,house,2014,3,1,1,SC_049,5247.74,19869,2250.0,53.14,0,hospital_002,1433.47,S_024,2228.9
55914,-37.844838,145.09311399999999,70 Fairview Avenue,CAMBERWELL,23970000,house,2016,3,2,2,SC_042,3621.01,19849,1337.04,34.0,0,hospital_089,1404.03,S_160,2231.29
17089,-37.708808000000005,144.91131000000001,34 Grandview Street,GLENROY,7250000,house,2013,5,2,2,SC_010,2221.73,20032,705.02,32.83,0,hospital_184,3768.45,S_209,1160.47
7748,-37.781652,144.80671,17A McLaughlin Street,ARDEER,3905000,house,2010,3,1,1,SC_102,2364.5,20004,1644.52,28.0,0,hospital_174,2313.49,S_130,1775.54
23591,-37.640815,144.904755,33 Fraserburgh Crescent,GREENVALE,9680000,house,2012,4,2,2,SC_072,1895.5,40220,2716.9,41.89,0,hospital_104,1765.15,S_211,2019.96
47587,-37.719527,145.148047,84 Bridge Street,ELTHAM,5208000,house,2013,4,2,2,SC_051,5207.56,19987,665.67,44.67,0,hospital_075,4045.45,S_194,1010.97
53022,-37.819503999999995,144.99330700000002,31 Union Street,RICHMOND,18700000,house,2014,2,1,0,SC_068,1948.07,19978,533.44,7.31,0,hospital_146,199.23,S_076,1120.21
1580,-37.787361,144.875909,1/17 Burns Street,MAIDSTONE,8220000,house,2015,3,1,2,SC_043,1447.63,20022,1747.08,21.75,0,hospital_056,1109.78,S_149,1447.79
70682,-37.888262,145.096341,27 Aikman Cres,CHADSTONE,10183000,house,2009,3,1,0,SC_042,1287.7,19917,1521.6,34.2,0,hospital_166,1488.17,S_026,1054.18
48512,-37.80182,145.03819199999998,5 New Street,KEW,15510000,house,2012,3,2,2,SC_083,2088.43,19904,2192.46,20.74,0,hospital_064,1173.31,S_039,776.02
66066,-37.770139,145.313481,24 Highview Drive,MOOROOLBARK,5967000,house,2016,5,2,0,SC_084,1335.18,19877,1629.09,55.25,0,hospital_113,3746.77,S_168,1313.51
51988,-37.801258000000004,145.193391,7 Savaris Court,DONVALE,9347000,house,2012,4,3,2,SC_088,2349.67,19900,1868.93,39.9,0,hospital_070,955.59,S_202,2939.14
35703,-37.70633698,145.02143859999998,89 St. Vigeons Road,RESERVOIR,7968000,house,2009,3,1,2,SC_047,3670.12,20009,1064.22,33.9,0,hospital_025,2250.43,S_225,2164.9
89767,-37.962236,145.065944,1 Verdure Crescent,CHELTENHAM,16390000,house,2016,5,3,2,SC_003,2257.78,19866,1113.52,37.94,0,hospital_109,776.97,S_023,940.76
56044,-37.846508,145.064129,985 Toorak Road,CAMBERWELL,15000000,house,2015,3,2,1,SC_099,2524.8,19850,1043.32,32.0,0,hospital_168,809.2,S_160,1416.3
7293,-37.742113,144.764012,2 Duval Court,ALBANVALE,2790000,house,2014,3,1,2,SC_048,2227.32,20001,2981.47,36.0,0,hospital_057,4892.04,S_070,1277.27
21159,-37.759073,144.960004,38 Tinning Street,BRUNSWICK,6160000,house,2010,2,1,0,SC_030,3093.24,19967,248.76,23.0,0,hospital_011,521.45,S_074,1194.44
71281,-37.85446167,145.2334595,20 Kidderminster Drive,WANTIRNA,4158000,house,2009,3,1,2,SC_032,4660.8,19871,3068.9,46.0,0,hospital_179,764.0,S_227,1794.17
14345,-37.761581,144.896198,36 Brunel Street,ABERFELDIE,20900000,house,2015,5,2,1,SC_085,1451.56,20037,1866.09,20.86,0,hospital_068,1575.1,S_049,1431.17
52309,-37.82431029999999,145.0131989,14 Bellevue Street,RICHMOND,10700000,house,2009,3,2,0,SC_038,1861.55,19906,614.11,12.75,0,hospital_122,967.91,S_102,1837.64
65511,-37.805267,145.31903799999998,9 Glendale Court,KILSYTH,9360000,house,2011,5,2,3,SC_022,3236.78,19877,2357.43,55.25,0,hospital_164,5586.97,S_224,839.69
47912,-37.810956299999994,145.0447263,142 Wellington Street,KEW,12960000,house,2011,3,1,2,SC_083,1329.19,19903,1277.48,23.0,0,hospital_064,403.08,S_208,1292.16
93581,-37.98834,145.086356,63 Marriott Street,PARKDALE,10570000,house,2011,4,2,2,SC_003,1930.35,19864,1025.88,42.35,0,hospital_001,1213.03,S_003,935.5
74790,-37.899617,145.05410700000002,20 Rigby Avenue,CARNEGIE,7667000,house,2016,4,1,2,SC_041,1702.38,19941,1334.48,35.78,0,hospital_159,2751.69,S_015,1343.82
57189,-37.829432000000004,145.076902,25 Milton Street,CANTERBURY,31040000,house,2010,4,2,2,SC_099,1752.79,19893,669.07,28.78,0,hospital_168,2667.78,S_160,808.35
21842,-37.746262,144.972527,114 Barrow Street,COBURG,14430000,house,2016,3,2,2,SC_030,2503.6,19965,919.02,28.0,0,hospital_144,1139.25,S_173,692.66
58064,-37.822451,145.162917,38 Glen Ebor Avenue,BLACKBURN,11280000,house,2011,4,2,2,SC_002,826.53,19899,1072.87,36.9,0,hospital_060,1315.25,S_202,1180.96
89764,-37.96392441,145.06152340000003,1 Silver Street,CHELTENHAM,5450000,house,2009,3,2,3,SC_079,2435.83,19866,682.44,37.94,0,hospital_082,565.61,S_023,705.32
94020,-38.0667583,145.1235937,7 Haldane Street,BONBEACH,4527000,house,2012,3,1,1,SC_070,5700.89,19859,545.74,52.46,0,hospital_096,9140.57,S_077,1538.23
39405,-37.680276,145.052082,10 Zelkova Terrace,BUNDOORA,9750000,house,2011,4,2,2,SC_062,4336.66,20007,3330.47,38.9,0,hospital_041,1571.09,S_155,2065.45
9925,-37.79549789,144.91687009999998,10/80 Hobsons Road,KENSINGTON,10384000,house,2009,3,2,1,SC_011,1461.54,20026,879.57,10.73,0,hospital_114,1188.96,S_086,1340.07
51078,-37.795361,145.138605,23 Norfolk Circuit,DONCASTER,14000000,house,2015,3,1,0,SC_091,1442.29,19897,2835.6,36.25,0,hospital_154,2634.5,S_188,1586.47
64783,-37.788687,145.297369,68 Allendale Road,CROYDON,8120000,house,2016,3,1,3,SC_022,1708.76,19877,1393.31,55.25,0,hospital_164,4243.96,S_181,1654.11
60197,-37.830124,145.211927,68 Churinga Avenue,MITCHAM,9560000,house,2016,3,2,2,SC_032,2438.16,19901,1252.22,41.55,0,hospital_008,2519.14,S_040,2506.15
22211,-37.738082,144.95755,2 Bourke Street,COBURG,4410000,house,2016,2,1,1,SC_030,909.11,19964,688.83,30.0,0,hospital_084,1784.18,S_172,784.67
60266,-37.821766,145.198906,7A Garden Avenue,MITCHAM,11220000,house,2014,4,2,2,SC_088,1721.33,19900,739.22,39.9,0,hospital_010,1328.25,S_202,2009.02
66226,-37.791774,145.32053100000002,31 Dryden Concourse,MOOROOLBARK,6526000,house,2014,3,1,2,SC_022,3393.43,19877,1059.67,55.25,0,hospital_113,4481.64,S_224,1460.65
49703,-37.807764,145.077216,7 Nott Street,BALWYN,14320000,house,2014,4,3,2,SC_099,2500.1,19893,1894.43,28.78,0,hospital_064,2544.77,S_137,1968.39
47321,-37.713415999999995,145.154943,56 Luck Street,ELTHAM,2175000,house,2016,3,1,2,SC_051,4444.67,19987,627.25,44.67,0,hospital_075,4419.24,S_194,321.81
71286,-37.862491,145.237924,21 Alderford Drive,WANTIRNA,7500000,house,2015,3,2,1,SC_032,5594.29,19870,3520.35,50.0,0,hospital_179,1715.82,S_227,1614.66
11958,-37.72444,144.834747,9 Riverside Avenue,KEILOR,3780000,house,2013,4,3,2,SC_107,2429.13,20001,3650.59,36.0,0,hospital_005,4365.39,S_222,2750.06
74511,-37.899178000000006,145.046578,11 Kingsley Parade,CARNEGIE,19360000,house,2014,3,1,1,SC_041,1924.92,19941,758.85,35.78,0,hospital_126,2394.27,S_015,1543.86
43351,-37.729184000000004,145.090086,9 Longacres Road,YALLAMBIE,7440000,house,2011,3,2,2,SC_017,3515.12,19983,1877.37,31.62,0,hospital_075,3016.74,S_020,2864.26
1495,-37.7967186,144.89070130000002,88 Creswick Street,FOOTSCRAY,7359000,house,2007,3,1,1,SC_043,2590.29,20024,647.65,17.75,0,hospital_003,518.47,S_201,783.82
24789,-37.66896,144.950075,52 Stewart Grove,CAMPBELLFIELD,7865000,house,2013,4,1,2,SC_072,3183.41,19960,435.08,39.0,0,hospital_104,3311.18,S_161,2400.92
82211,-37.991444,145.2505,44 Laurel Avenue,DOVETON,3982000,house,2010,3,1,1,SC_077,1541.9,19885,3380.48,59.29,0,hospital_119,2854.57,S_195,1659.47
8787,-37.86696,144.765999,11 Balmoral Street,LAVERTON,3600000,house,2015,3,1,2,SC_092,4373.44,19924,457.75,30.78,0,hospital_073,7669.04,S_007,2035.18
83239,-37.886496,145.252431,57 Coromandel Crescent,KNOXFIELD,10100000,house,2015,3,2,2,SC_049,4980.82,19868,3799.81,55.14,0,hospital_002,3720.88,S_027,2244.17
43773,-37.7165947,145.0814667,4/285 Greensborough Road,WATSONIA,2980000,house,2009,2,1,1,SC_017,4506.5,19984,660.07,34.64,0,hospital_075,2499.2,S_020,2106.51
83523,-37.855914,144.99356,14 Mcilwrick Street,WINDSOR,13120000,house,2009,2,1,1,SC_066,959.22,19957,134.91,11.0,0,hospital_063,396.23,S_115,1351.39
